# Expected-reading corpus — the faithfulness gate (README §7c). TAB-separated:
#   sentence <TAB> skeleton (sense-erased) <TAB> note
# The gate asserts each unit still CONTAINS its skeleton among its readings — robust to
# added ambiguity, unlike encoded-count. A MISS = a fundamentally-correct reading was lost.
# VERIFIED 2026-07-22: each entry's reading was checked via English gloss or manual
# λ-term dissection. Two originally-seeded units were ENCODED on a WRONG reading and
# REMOVED: "MSI is associated with…" ('associated with' reified as UMLS C0332281 into a
# noun compound, not the verb) and "These data sets are project Achilles and project DRIVE"
# ('and' reified as UMLS C1515981 into a compound pile, not a coordination). Both are the
# function-word/qualifier reification defect; re-add once it is fixed and the correct reading pins.
# baseline replay. "encoded" is NOT proof of "correct" (cf. the 2026-07-20 gloss bug), so
The co-occurrence of these two events leads to cell death.	§(kind_of(§), the(ΣG#0:§. prep_of(G#0, the(ΣG#1:§. compound_kind(G#1, §)).1)).1)	verified 2026-07-22 (gloss)
Each event alone does not lead to cell death.	ΠG#0:ΣG#0:§. sole(G#0). §(kind_of(§), G#0.1) → False	verified 2026-07-22 (gloss)
DNA repair processes are attractive synthetic-lethal targets.	subclass_of(ΣG#0:§. compound_kind(G#0, §), ΣG#0:§. And(gt(§(G#0), §), gt(§(G#0), §)))	verified 2026-07-22 (gloss)
This success highlights the potential of this approach.	§(the(ΣG#0:§. prep_of(G#0, the(§))).1, the(§))	verified 2026-07-22 (gloss)
MSI cancer models required the helicase activity of WRN.	§(the(ΣG#0:§. prep_of(G#0, kind_of(§))).1, kind_of(ΣG#0:§. compound_kind(G#0, §)))	verified 2026-07-22 (gloss)
MSI cancer models did not require the exonuclease activity of WRN.	§(the(ΣG#0:§. prep_of(G#0, kind_of(§))).1, kind_of(ΣG#0:§. compound_kind(G#0, §))) → False	verified 2026-07-22 (gloss)
Nucleotide repeat regions are microsatellites.	subclass_of(ΣG#0:§. compound_kind(G#0, ΣG#1:§. compound_kind(G#1, §)), §)	verified 2026-07-22 (gloss)
MSI contributes to several cancers.	ΠG#0:Prop. ΠG#1:§. §(G#1, kind_of(§)) → G#0 → G#0	verified 2026-07-22 (dissection); structure correct, GQ cardinality 'several' not encoded in this reading
MSI occurs in colon, gastric, endometrial and ovarian cancers.	And(And(And(§(kind_of(§), kind_of(§)), §(kind_of(§), kind_of(§))), §(kind_of(§), kind_of(§))), §(kind_of(§), kind_of(§)))	verified 2026-07-22 (gloss)
MSI can arise from Lynch syndrome.	Possible(And(§(kind_of(§)), prep_from(kind_of(§), kind_of(§))))	verified 2026-07-22 (gloss)
More commonly, MSI cancers arise from somatic MMR inactivation.	And(§(kind_of(ΣG#0:§. compound_kind(G#0, §))), prep_from(kind_of(ΣG#0:§. compound_kind(G#0, §)), kind_of(ΣG#0:§. And(compound_kind(G#0, §), gt(§(G#0), §)))))	verified 2026-07-22 (gloss)
The use of immune checkpoint blockade can be limited by toxicity.	Possible(§(the(ΣG#0:§. compound_kind(G#0, §)).1, kind_of(§)))	verified 2026-07-23 (passive-agent: toxicity limit the use of ICB)
Thus, MSI tumours need novel therapies.	§(kind_of(ΣG#0:§. gt(§(G#0), §)), kind_of(ΣG#0:§. compound_kind(G#0, §)))	verified 2026-07-22 (gloss)
We hypothesized that MSI and MMR deficiency may create vulnerabilities.	§(And(Possible(§(kind_of(§), kind_of(§))), Possible(§(kind_of(§), kind_of(§)))), speaker)	verified 2026-07-23 (distributed coordination: MSI/MMR-deficiency each may create vulnerabilities)
We analysed two independent cancer dependency data sets.	ΠG#0:Prop. ΠG#1:ΣG#1:§. And(compound_kind(G#1, ΣG#2:§. compound_kind(G#2, §)), gt(§(G#1), §)). §(G#1.1, speaker) → G#0 → G#0	verified 2026-07-22 (dissection); structure correct, GQ cardinality 'two' not encoded in this reading
We identified three groups of cell lines.	ΠG#0:Prop. ΠG#1:ΣG#1:§. prep_of(G#1, kind_of(§)). §(G#1.1, speaker) → G#0 → G#0	verified 2026-07-23 (cardinal GQ: identify(we, three groups of cell lines); cardinality 'three' not encoded, same caveat as the two-data-sets sibling)
Project Achilles screened cell lines with a CRISPR library.	§(kind_of(ΣG#0:§. ΠG#1:Prop. ΠG#2:ΣG#2:§. compound_kind(G#2, §). prep_with(G#0, G#2.1) → G#1 → G#1), ni_project_achilles)	verified 2026-07-23 (named individual: Project Achilles screened cell-lines-with-a-CRISPR-library)
Project DRIVE analysed cell lines with an RNA interference library.	§(kind_of(ΣG#0:§. ΠG#1:Prop. ΠG#2:ΣG#2:§. compound_kind(G#2, §). prep_with(G#0, G#2.1) → G#1 → G#1), ni_project_drive)	verified 2026-07-23 (named individual: Project DRIVE analysed cell-lines-with-an-RNAi-library)
Project Achilles and project DRIVE identified WRN as the top preferential dependency in MSI cell lines compared to MSS cell lines.	And(And(And(§(kind_of(§), the(ΣG#0:§. And(gt(§(G#0), §), gt(§(G#0), §))).1, ni_project_achilles), prep_in(ni_project_achilles, kind_of(ΣG#0:§. compound_kind(G#0, ΣG#1:§. compound_kind(G#1, §))))), prep_to(ni_project_achilles, kind_of(ΣG#0:§. compound(G#0, §)))), And(And(§(kind_of(§), the(ΣG#0:§. And(gt(§(G#0), §), gt(§(G#0), §))).1, ni_project_drive), prep_in(ni_project_drive, kind_of(ΣG#0:§. compound_kind(G#0, ΣG#1:§. compound_kind(G#1, §))))), prep_to(ni_project_drive, kind_of(ΣG#0:§. compound(G#0, §)))))	verified 2026-07-23 (named-entity source: distributed coordination of the two project named individuals); re-pinned 2026-07-25 after the core-en `bnp` change (d24deba): WRN in the essive OBJECT slot is now realised as kind_of(§) rather than a bare atom, because a bare-kind noun has a plain cat_np. The VERIFIED property — the distributed coordination over ni_project_achilles / ni_project_drive — is unchanged; the object's realisation was incidental to that verification and never adjudicated
These MSI cell lines were distinct.	gt(§(the(ΣG#0:§. compound_kind(G#0, §)).1), §)	verified 2026-07-22 (gloss)
The lines from rare lineages were less dependent on WRN.	λ$anaphor$0. gt(§(kind_of(§), $anaphor$0), §(kind_of(§), the(ΣG#0:§. prep_from(G#0, kind_of(ΣG#1:§. gt(§(G#1), §)))).1))	verified 2026-07-23 (Fix A a+b': relational comparative — deg_dependent_rel(WRN, .) with WRN the relatum; open, standard = the typical lineages [discourse]); re-pinned 2026-07-24 with α-normalised hole binder ($anaphor$0) after the elided_than shift moved the freshening site
These groups are MSI lines, microsatellite-stable lines and indeterminate lines.	And(And(λG#0. the(§, kind_of(ΣG#1:§. compound_kind(G#1, §)), G#0), λG#0. the(§, kind_of(ΣG#1:§. gt(§(G#1), §)), G#0)), λG#0. the(§, kind_of(ΣG#1:§. gt(§(G#1), §)), G#0))	verified 2026-07-24 (Defect 3: referential enumeration — the three groups ARE, respectively, the MSI-line kind (compound_kind), the microsatellite-stable-line kind and the indeterminate-line kind (gradable adj gt). subclass_of canonicalization REJECTED: the And-distribution is the contradictory intersection MSI ∩ microsatellite-stable = ∅. 4 readings collapse to 1 skeleton — sense-only ambiguity: group/Social group × two WordNet 'stable' senses a02290998/a02274089)
Some MSI lines and some MSS lines were represented by these screening data sets.	And(ΠG#0:Prop. ΠG#1:ΣG#1:§. compound_kind(G#1, §). §(G#1.1, the(ΣG#2:§. compound_kind(G#2, §)).1) → G#0 → G#0, ΠG#0:Prop. ΠG#1:ΣG#1:§. compound_kind(G#1, §). §(G#1.1, the(ΣG#2:§. compound_kind(G#2, §)).1) → G#0 → G#0)	verified 2026-07-24 (Defect 2a: distributed existential passive — ∃ MSI-line represented by the data-sets AND ∃ MSS-line represented by them; 'some' is the existential GQ, not the C0205392 reification. Two conjuncts erase identically (MSI/MSS line → compound_kind(line,§)). Cardinality opaque, same caveat as the two-data-sets / three-groups GQ siblings)
WRN was dispensable in models of microsatellite-stable cancers.	And(gt(§(kind_of(§)), §), prep_in(kind_of(§), kind_of(ΣG#0:§. prep_of(G#0, kind_of(ΣG#1:§. gt(§(G#1), §))))))	verified 2026-07-25 (gloss): gt(dispensable(WRN), std) with 'in models of MSS cancers' a CIRCUMSTANTIAL VP-adjunct — 'dispensable' does not subcategorize 'in', so the adjunct reading is the faithful one (unlike dependent-on / essential-for / concordant-with, which do govern their preposition). 'of microsatellite-stable cancers' correctly NESTS into the models NP (prep_of inside the Σ), and 'stable' takes a02290998 (resistant to change), the domain-right sense
We hypothesized that other DNA repair defects would give rise to synthetic-lethal relationships.	§(Would(And(§(kind_of(ΣG#0:§. And(compound_kind(G#0, §), gt(§(G#0), §)))), prep_to(kind_of(ΣG#0:§. And(compound_kind(G#0, §), gt(§(G#0), §))), kind_of(ΣG#0:§. gt(§(G#0), §))))), speaker)	verified 2026-07-25 (gloss): 'to synthetic-lethal relationships' stays INSIDE the that-clause, attached to the embedded subject (the defects) — the same VP-adjunct shape as the pinned 'MSI can arise from Lynch syndrome'. The rejected skeleton attaches prep_to to `speaker`, escaping the complement clause entirely
MSI results from deficient DNA mismatch repair.	And(§(kind_of(§)), prep_from(kind_of(§), kind_of(ΣG#0:§. And(compound_kind(G#0, §), gt(§(G#0), §)))))	verified 2026-07-25 (gloss): 'deficient' is a gradable adjective OVER the compound 'DNA mismatch repair' — And(compound_kind, gt), the same shape as the pinned 'somatic MMR inactivation'. The rejected skeleton keeps only the adjective and loses the DNA compound
We analysed data from large-scale silencing screens.	§(kind_of(ΣG#0:§. prep_from(G#0, kind_of(ΣG#1:§. And(compound_kind(G#1, §), gt(§(G#1), §))))), speaker)	verified 2026-07-25 (gloss): 'from …' attaches to the head noun `data` and its object is the compound 'silencing screens' modified by 'large-scale' — the same prep_from-on-head shape as the pinned 'the lines from rare lineages'. The rejected skeleton folds the PP into a compound modifier
Defects in DNA mismatch repair promote a hypermutable state.	ΠG#0:Prop. ΠG#1:ΣG#1:§. gt(§(G#1), §). §(G#1.1, kind_of(ΣG#2:§. prep_in(G#2, kind_of(ΣG#3:§. compound_kind(G#3, §))))) → G#0 → G#0	verified 2026-07-25 (gloss): the prep_in object is the compound 'DNA mismatch repair'. The rejected skeleton makes it atomic and drops DNA
These mutations occur in nucleotide repeat regions.	And(§(the(§)), prep_in(the(§), kind_of(ΣG#0:§. compound_kind(G#0, ΣG#1:§. compound_kind(G#1, §)))))	verified 2026-07-25 (gloss): circumstantial VP-adjunct And(occur(subj), prep_in(subj, …)) over the two-level compound 'nucleotide [repeat regions]' (same nesting as the pinned 'Nucleotide repeat regions are microsatellites'). The rejected skeleton makes `occur` transitive and swallows the preposition
These classifications were highly concordant with PCR-based MSI phenotyping and with predicted MMR deficiency.	And(And(gt(§(the(§)), §), prep_with(the(§), kind_of(ΣG#0:§. And(compound_kind(G#0, §), §(G#0, kind_of(§)))))), And(gt(§(the(§)), §), prep_with(the(§), kind_of(ΣG#0:§. And(compound_kind(G#0, §), ΠG#1:Prop. ΠG#2:Entity. §(G#0, G#2) → G#1 → G#1)))))	verified 2026-07-25 (gloss): 'highly concordant' is the gradable adjective gt(deg(·), std), distributed over the two `with` PPs. The rejected skeleton takes the copula referentially (the(class, restrictor, x)) — 'the classification that is Concordance', the noun reading of concordant
WRN encodes a RecQ DNA helicase.	ΠG#0:Prop. ΠG#1:ΣG#1:§. compound_kind(G#1, §). §(G#1.1, §) → G#0 → G#0	verified 2026-07-25 (gloss): 'a RecQ DNA helicase' is the indefinite GQ over a compound restrictor. The rejected skeleton invents a relative clause — is_a(helicase, RecQ) — instead of the compound. Cardinality opaque, same caveat as the two-data-sets / three-groups GQ siblings
These findings remained true with PCR-based MSI classifications.	And(§(λG#0. gt(§(G#0), §), the(§)), prep_with(the(§), kind_of(ΣG#0:§. And(compound_kind(G#0, §), §(G#0, kind_of(§))))))	verified 2026-07-25 (gloss): 'with PCR-based MSI classifications' is a circumstantial VP-adjunct on the subject — And(remain-true(subj), prep_with(subj, …)). The rejected skeleton binds the PP inside the `true` predicate ('true-with-classifications')
The four other RecQ DNA helicases were not preferentially essential in MSI cell lines.	And(gt(§(the(ΣG#0:§. compound_kind(G#0, ΣG#1:§. compound_kind(G#1, ΣG#2:§. compound_kind(G#2, §)))).1), §) → False, prep_in(the(ΣG#0:§. compound_kind(G#0, ΣG#1:§. compound_kind(G#1, ΣG#2:§. compound_kind(G#2, §)))).1, kind_of(ΣG#0:§. compound_kind(G#0, §))))	verified 2026-07-25 (gloss): the negation scopes over the PREDICATE and the locative is asserted — 'in MSI cell lines, they were not preferentially essential'. The rejected skeleton negates the whole conjunction, ¬(essential ∧ in-MSI-lines), which does not assert the frame
MSI is most commonly observed in colorectal, endometrial, gastric and ovarian cancers.	And(gt(§(kind_of(§)), §), prep_in(kind_of(§), kind_of(ΣG#0:§. Or(Or(Or(§(G#0), §(G#0)), §(G#0)), §(G#0)))))	verified 2026-07-25 (gloss): 'most commonly' is the degree gt(deg(observed), std), with the four adjectives disjoined over the single head 'cancers'. The rejected skeleton drops the degree adverb entirely
We also identified MSI cell lines from rare lineages.	§(kind_of(ΣG#0:§. And(compound_kind(G#0, §), prep_from(G#0, kind_of(ΣG#1:§. gt(§(G#1), §))))), speaker)	verified 2026-07-25 (gloss + forest trace): 'from rare lineages' NESTS into the object NP — identify(kind_of(Σ. And(compound_kind(·,MSI), prep_from(·, rare-lineages))), we). The rejected skeleton attaches prep_from to `speaker` ('we from rare lineages'). This reading was silently truncated away by CLASSIFY_BUDGET until the distinct-sem dedup
These cell lines contained fewer deletion mutations in microsatellite regions than typical lineages.	gt(card(ΣG#0:§. prep_in(G#0, kind_of(ΣG#1:§. compound_kind(G#1, §))), kind_of(ΣG#0:§. gt(§(G#0), §))), card(ΣG#0:§. prep_in(G#0, kind_of(ΣG#1:§. compound_kind(G#1, §))), the(§)))	verified 2026-07-25 (gloss): 'in microsatellite regions' attaches to the head 'deletion mutations' and its object is the compound 'microsatellite regions'. The rejected skeleton makes the PP a compound modifier and leaves the PP object atomic
These lines possess events that are predictive of MMR deficiency.	§(kind_of(ΣG#0:§. And(gt(§(G#0), §), prep_of(G#0, kind_of(ΣG#1:§. compound_kind(G#1, §))))), the(§))	verified 2026-07-25 (gloss): relative clause as And(gt(predictive(·), std), prep_of(·, MMR-deficiency)) — the Fix A (c) positive relational predication — over the compound 'MMR deficiency'. The rejected skeleton folds 'predictive of X' into a compound modifier of `events`
